run_accession,experiment,biosample,bioproject,collection_date,site_or_sample,strategy,platform,gbases
SRR38294763,SRX33130804,SAMN57413835,PRJNA1247874,2026-03-01,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,388.92
SRR38294775,SRX33130792,SAMN57413823,PRJNA1247874,2026-03-01,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,428.12
SRR38294658,SRX33130618,SAMN57413811,PRJNA1247874,2026-03-02,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,422.02
SRR38294727,SRX33130550,SAMN57413800,PRJNA1247874,2026-03-08,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,344.67
SRR38294739,SRX33130538,SAMN57413788,PRJNA1247874,2026-03-08,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,390.58
SRR38294774,SRX33130793,SAMN57413824,PRJNA1247874,2026-03-08,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,421.92
SRR38294942,SRX33130886,SAMN57413836,PRJNA1247874,2026-03-08,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,376.34
SRR38294657,SRX33130619,SAMN57413812,PRJNA1247874,2026-03-09,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,399.94
SRR38294659,SRX33130617,SAMN57413789,PRJNA1247874,2026-03-15,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,302.95
SRR38294713,SRX33130564,SAMN57413837,PRJNA1247874,2026-03-15,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,352.64
SRR38294726,SRX33130551,SAMN57413801,PRJNA1247874,2026-03-15,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,297.2
SRR38294772,SRX33130796,SAMN57413825,PRJNA1247874,2026-03-15,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,297.91
SRR38294655,SRX33130621,SAMN57413813,PRJNA1247874,2026-03-16,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,346.3
SRR38294660,SRX33130616,SAMN57413790,PRJNA1247874,2026-03-22,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,314.88
SRR38294714,SRX33130563,SAMN57413838,PRJNA1247874,2026-03-22,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,273.18
SRR38294728,SRX33130549,SAMN57413802,PRJNA1247874,2026-03-22,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,253.01
SRR38294770,SRX33130797,SAMN57413826,PRJNA1247874,2026-03-22,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,298.23
SRR38294656,SRX33130620,SAMN57413814,PRJNA1247874,2026-03-23,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,272.64
SRR38294712,SRX33130565,SAMN57413839,PRJNA1247874,2026-03-29,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,290.46
SRR38294729,SRX33130548,SAMN57413803,PRJNA1247874,2026-03-29,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,259.4
SRR38294738,SRX33130539,SAMN57413791,PRJNA1247874,2026-03-29,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,295.89
SRR38294771,SRX33130794,SAMN57413827,PRJNA1247874,2026-03-29,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,316.33
SRR38294716,SRX33130561,SAMN57413815,PRJNA1247874,2026-03-30,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,261.93
SRR39695106,SRX34378582,SAMN61656760,PRJNA1247874,2026-04-05,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,167.76
SRR39695113,SRX34378576,SAMN61656722,PRJNA1247874,2026-04-05,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,194.03
SRR39695324,SRX34378664,SAMN61656773,PRJNA1247874,2026-04-05,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,187.8
SRR39695334,SRX34378654,SAMN61656735,PRJNA1247874,2026-04-05,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,178.52
SRR39695053,SRX34378334,SAMN61656747,PRJNA1247874,2026-04-06,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,207.2
SRR39695107,SRX34378581,SAMN61656761,PRJNA1247874,2026-04-12,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,187.18
SRR39695115,SRX34378574,SAMN61656723,PRJNA1247874,2026-04-12,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,229.51
SRR39695322,SRX34378666,SAMN61656774,PRJNA1247874,2026-04-12,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,248.35
SRR39695333,SRX34378655,SAMN61656736,PRJNA1247874,2026-04-12,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,201.07
SRR39695050,SRX34378336,SAMN61656748,PRJNA1247874,2026-04-13,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,213.35
